"","Site","year","Intercept","Slope"
"1","Anchor",2004,7.02561326111371,0.039026627064355
"2","Anchor",2005,10.6871773830729,0.018413617190346
"3","Anchor",2006,7.13739391963428,0.0240321884574946
"4","Anchor",2007,5.27346167474644,0.036747866591968
"5","Anchor",2009,8.21822341543123,0.0193772993299785
"6","Anchor",2011,6.74760912121245,0.0265018101683409
"7","Anchor",2012,4.16312927387467,0.0354732108003139
"8","Anchor",2013,4.25869739163748,0.0423954721838578
"9","Anchor",2014,5.36372192576704,0.0371794471944695
"10","Beaver",2008,22.6707016420583,-0.0496937972576712
"11","Beaver",2009,22.9032922698371,-0.0508564457555557
"12","Beaver",2010,22.4794624288424,-0.0483946977850964
"13","Beaver",2011,28.0508115474645,-0.0720205275773205
"14","Beaver",2012,37.2629946040318,-0.110984066298113
"15","Beaver",2013,33.6524915172365,-0.0912242154164284
"16","Chuitna",2008,18.700826395313,-0.0278125192722787
"17","Chuitna",2010,14.7292414431082,-0.0136373728029602
"18","Chuitna",2011,36.1834604714455,-0.105377279864261
"19","Chuitna",2015,56.5511903553839,-0.183756824943016
"20","Deception",2008,6.3022653612732,0.0189998312573169
"21","Deception",2009,27.702977252453,-0.0716903564250871
"22","Deception",2010,15.6971158438188,-0.0194435104738677
"23","Deception",2011,30.2999286190076,-0.0902493448935538
"24","Deep",2002,25.4970617464377,-0.0610149799050055
"25","Deep",2003,31.9524340518816,-0.0847194008037998
"26","Deep",2004,25.6318581656784,-0.0518828058517721
"27","Deep",2005,29.6208184143222,-0.0740537084398977
"28","Deep",2006,28.0369740591889,-0.0758213372305444
"29","Deep",2007,17.6667947874802,-0.0242853489221775
"30","Deep",2008,14.8082216538789,-0.0185498721227621
"31","Deep",2009,28.2255755478454,-0.0723220146643405
"32","Deep",2011,24.0737068857123,-0.0558647751244063
"33","Deshka",2008,11.7251801997395,0.0117759444203213
"34","Deshka",2009,45.2480630360123,-0.138598289466457
"35","Deshka",2010,27.4887123432091,-0.0693789769150565
"36","Deshka",2014,34.9546605032543,-0.0875366438113333
"37","EF Chulitna",2008,6.23149975915746,0.00457725777412846
"38","EF Chulitna",2009,29.9126730843946,-0.0958300684156527
"39","EF Chulitna",2010,13.0977707614735,-0.0214193110679084
"40","EF Chulitna",2011,20.5879745202387,-0.0574665376552169
"41","EF Chulitna",2012,10.0226647300068,-0.00880006835269993
"42","Fish",2008,42.2728484848485,-0.121686868686869
"43","Fish",2009,44.1369854303689,-0.130706012525325
"44","Fish",2010,41.3229945359857,-0.116752326474857
"45","Fish",2011,40.6819274581428,-0.118420185432035
"46","Fish",2012,51.5464380879801,-0.16158629901075
"47","Fish",2013,54.3256883116883,-0.170041125541125
"48","Fish",2014,49.1972686903031,-0.147341103758081
"49","Fish",2015,69.7778550430953,-0.238296486448124
"50","Little Willow",2008,8.24785497177594,0.00947731220147636
"51","Little Willow",2009,31.8455810077745,-0.0889610495039081
"52","Little Willow",2010,18.7686637043394,-0.0346206205187256
"53","Little Willow",2011,28.2389070854099,-0.0790658465129724
"54","Little Willow",2012,18.2616281299754,-0.030304494138081
"55","Little Willow",2013,45.2707913590969,-0.144926726009553
"56","Little Willow",2014,21.3618711817369,-0.0422340867072298
"57","Little Willow",2015,31.7409381252226,-0.086016339692358
"58","Montana",2008,9.96857116033022,0.00314430394724272
"59","Montana",2009,31.3910859863402,-0.086302384112028
"60","Montana",2010,15.165224487865,-0.0167160157609641
"61","Montana",2011,25.5729525080847,-0.0650235098293531
"62","Moose (Su)",2008,20.5076933592723,-0.0371801882328198
"63","Moose (Su)",2009,34.4524695928081,-0.0959175039661555
"64","Moose (Su)",2010,25.214989747095,-0.0585645933014355
"65","Moose (Su)",2011,30.2098218061008,-0.0804741769858047
"66","Moose (Su)",2012,30.5518036836696,-0.0832101029545192
"67","NF Campbell",2008,8.56861999830704,0.0072445554790864
"68","NF Campbell",2009,26.2062829255134,-0.0647405890027953
"69","NF Campbell",2010,12.8260751228084,-0.00845074725610031
"70","NF Campbell",2011,24.5460721210748,-0.0617773412908262
"71","NF Campbell",2012,4.40616133225526,0.0263144487283624
"72","NF Campbell",2013,15.9670894714311,-0.0169965500742868
"73","NF Campbell",2014,18.6255657501599,-0.0296780885067865
"74","NF Campbell",2015,24.2283302881747,-0.050644959577976
"75","Ninilchik",2002,28.4294290056449,-0.0713954624402954
"76","Ninilchik",2003,38.8489077652338,-0.115232305688233
"77","Ninilchik",2004,17.0597820085266,-0.0131042729450716
"78","Ninilchik",2005,28.2073617744971,-0.0668492184107687
"79","Ninilchik",2006,27.109829736242,-0.0715268241303735
"80","Ninilchik",2007,21.3098623653933,-0.0404093166456796
"81","Ninilchik",2008,15.0469657331018,-0.0178658271819367
"82","Ninilchik",2009,22.2110659193661,-0.0478787666073058
"83","Ninilchik",2010,18.2503603994789,-0.0314481111593574
"84","Ninilchik",2011,34.4140710637093,-0.100413181059325
"85","Ninilchik",2012,21.3660827544549,-0.0416626396858955
"86","Ninilchik",2013,45.7745324938487,-0.147373534520191
"87","Ninilchik",2014,31.268356448144,-0.0838149820777249
"88","Ninilchik",2015,26.3975720831029,-0.060433839099273
"89","Rabbit",2008,1.38341222377829,0.0258517397567928
"90","Rabbit",2009,17.0047676277298,-0.0345301999692026
"91","Rabbit",2010,7.06720200992928,0.00632252975722086
"92","Resurrection",2008,-1.13158629776019,0.0366587615283267
"93","Resurrection",2009,16.1274005441647,-0.0296114143450934
"94","Resurrection",2010,5.37693590530636,0.0129440957868541
"95","Resurrection",2011,18.2362927957243,-0.0442204942207448
"96","Resurrection",2012,2.53330523505228,0.023628225525673
"97","Russian",2015,36.4787296203085,-0.105930626983258
"98","Ship",2008,5.58614125582669,0.0140724835901135
"99","Ship",2009,20.5707401481401,-0.0466785312792929
"100","Ship",2010,8.3075055156012,0.00606947198829036
"101","Ship",2011,16.897675742512,-0.0335420058643449
"102","Stariski",2003,26.5915613275613,-0.0591053391053392
"103","Stariski",2004,16.0614605611638,-0.00557826026046178
"104","Stariski",2005,27.3705375180375,-0.0605836940836941
"105","Stariski",2006,23.5924056058067,-0.0532604317114719
"106","Stariski",2007,13.0816002886003,-0.00197546897546901
"107","Stariski",2008,13.1169422799423,-0.00863347763347765
"108","Stariski",2009,26.8867383999885,-0.0681811102205628
"109","Stariski",2010,13.6575377341309,-0.0117379922781385
"110","Stariski",2011,21.4795758509307,-0.0429148057965368
"111","Stariski",2012,8.84999149384942,0.013708091300938
"112","Stariski",2013,17.379886002886,-0.0196897546897547
"113","Stariski",2014,23.2175141348297,-0.0475581852914864
"114","Stariski",2015,16.259189033189,-0.0120230880230881
"115","Wasilla",2008,26.2025198307774,-0.073397673188789
"116","Wasilla",2009,30.355138445587,-0.0908753167494977
"117","Wasilla",2010,35.7405119796276,-0.11193621761285
"118","Wasilla",2011,27.6327220888383,-0.0808095242972501
"119","Wasilla",2012,26.3387644463784,-0.0747336203295611
"120","Willow",2008,8.25654142228741,0.00854472140762453
"121","Willow",2009,25.0711803519061,-0.0566293988269793
"122","Willow",2010,55.5491176470588,-0.220269607843137
"123","Willow",2011,35.3896572495716,-0.114262203677052
